Producers,Consumers,N,Time,TotalOps,Throughput
1,1,100000,0.018019,100000,5549845.69
1,1,1000000,0.243063,1000000,4114154.47
1,2,100000,0.048963,100000,2042365.77
1,2,1000000,0.343992,1000000,2907046.80
1,4,100000,0.056008,100000,1785444.78
1,4,1000000,0.700848,1000000,1426842.54
1,8,100000,0.151778,100000,658858.94
1,8,1000000,1.026227,1000000,974442.98
2,1,100000,0.061744,200000,3239195.46
2,1,1000000,0.381506,2000000,5242378.27
2,2,100000,0.048232,200000,4146655.94
2,2,1000000,0.534470,2000000,3742024.07
2,4,100000,0.061340,200000,3260527.01
2,4,1000000,0.734525,2000000,2722849.95
2,8,100000,0.143909,200000,1389768.26
2,8,1000000,1.382643,2000000,1446505.44
4,1,100000,0.214706,400000,1863013.45
4,1,1000000,2.199037,4000000,1818978.43
4,2,100000,0.198201,400000,2018149.77
4,2,1000000,1.560012,4000000,2564082.87
4,4,100000,0.158787,400000,2519097.20
4,4,1000000,1.375499,4000000,2908036.03
4,8,100000,0.209414,400000,1910091.63
4,8,1000000,2.195410,4000000,1821983.23
8,1,100000,0.946186,800000,845499.66
8,1,1000000,9.347156,8000000,855875.33
8,2,100000,0.887228,800000,901684.55
8,2,1000000,6.761131,8000000,1183234.01
8,4,100000,0.477521,800000,1675318.13
8,4,1000000,4.386359,8000000,1823836.11
8,8,100000,0.348922,800000,2292774.93
8,8,1000000,3.329412,8000000,2402826.60
